epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,3617.66,0.4449,0.33308,0.83335,0.98941,1,0.995,0.8595,0.55368,0.35098,0.79233,0.00071488,0.00071488,0.00071488
146,3644.51,0.44966,0.32837,0.83323,0.98908,1,0.995,0.85481,0.5553,0.35096,0.79273,0.0007129,0.0007129,0.0007129
147,3671.06,0.42797,0.33115,0.82834,0.98281,1,0.995,0.86167,0.5498,0.34603,0.79392,0.00071092,0.00071092,0.00071092
148,3696.91,0.4605,0.34113,0.84282,0.97908,0.99439,0.995,0.86349,0.53669,0.34149,0.78912,0.00070894,0.00070894,0.00070894
149,3722.59,0.4645,0.35562,0.84832,0.98168,0.99423,0.995,0.87851,0.5309,0.34422,0.78903,0.00070696,0.00070696,0.00070696
150,3748.3,0.43767,0.33185,0.82545,0.98582,1,0.995,0.86753,0.54434,0.35035,0.7926,0.00070498,0.00070498,0.00070498
151,3773.77,0.48413,0.34458,0.85098,0.98874,1,0.995,0.85995,0.54213,0.34685,0.79119,0.000703,0.000703,0.000703
152,3799.09,0.45079,0.33738,0.84102,0.98608,1,0.995,0.84925,0.54721,0.32797,0.79158,0.00070102,0.00070102,0.00070102
153,3824.67,0.44319,0.32925,0.82608,0.9843,1,0.995,0.85085,0.54014,0.3253,0.79176,0.00069904,0.00069904,0.00069904
154,3850.36,0.45282,0.33334,0.83796,0.96804,0.99591,0.995,0.86467,0.52244,0.32572,0.78822,0.00069706,0.00069706,0.00069706
155,3875.89,0.43202,0.32562,0.84171,0.96281,0.99629,0.995,0.85941,0.51959,0.32672,0.78732,0.00069508,0.00069508,0.00069508
156,3901.64,0.44132,0.32621,0.82851,0.96662,0.99923,0.995,0.86314,0.51797,0.32924,0.78807,0.0006931,0.0006931,0.0006931
157,3927.62,0.42599,0.32593,0.83327,0.96894,1,0.995,0.85039,0.53011,0.33773,0.79092,0.00069112,0.00069112,0.00069112
158,3953.39,0.44336,0.33233,0.84331,0.97396,1,0.995,0.84347,0.56339,0.33906,0.80042,0.00068914,0.00068914,0.00068914
159,3985,0.42225,0.31468,0.83178,0.97309,1,0.995,0.84358,0.56218,0.33653,0.79569,0.00068716,0.00068716,0.00068716
160,4011.38,0.4359,0.31997,0.83894,0.97355,0.9948,0.995,0.85209,0.52555,0.319,0.78912,0.00068518,0.00068518,0.00068518
161,4036.49,0.43069,0.31442,0.8251,0.97584,0.99458,0.995,0.84681,0.5281,0.32468,0.78883,0.0006832,0.0006832,0.0006832
162,4063.3,0.43737,0.31538,0.83341,0.97459,0.99453,0.995,0.85848,0.52542,0.31157,0.78665,0.00068122,0.00068122,0.00068122
163,4088.43,0.46737,0.34147,0.84203,0.97237,0.9939,0.995,0.85749,0.52076,0.31753,0.78534,0.00067924,0.00067924,0.00067924
164,4117.82,0.43056,0.32084,0.82809,0.97999,0.99632,0.995,0.86893,0.51245,0.3306,0.78104,0.00067726,0.00067726,0.00067726
165,4143.7,0.44228,0.33103,0.839,0.9799,0.99963,0.995,0.87478,0.52405,0.33061,0.78208,0.00067528,0.00067528,0.00067528
166,4169.94,0.44689,0.32174,0.8443,0.97902,0.98362,0.995,0.85599,0.50119,0.30677,0.78134,0.0006733,0.0006733,0.0006733
167,4196.15,0.45464,0.32714,0.85633,0.97244,0.99285,0.995,0.86884,0.49352,0.30189,0.78257,0.00067132,0.00067132,0.00067132
168,4221.82,0.44246,0.3235,0.83093,0.9809,0.99952,0.995,0.86143,0.51504,0.30737,0.78788,0.00066934,0.00066934,0.00066934
169,4248.36,0.43463,0.31973,0.83954,0.98541,1,0.995,0.85462,0.52476,0.30958,0.7906,0.00066736,0.00066736,0.00066736
170,4277.59,0.43335,0.31432,0.83538,0.98969,0.9993,0.995,0.85798,0.5331,0.31578,0.79242,0.00066538,0.00066538,0.00066538
171,4304.19,0.42856,0.31472,0.82716,0.98832,1,0.995,0.84961,0.54386,0.31586,0.79537,0.0006634,0.0006634,0.0006634
172,4331.48,0.429,0.3229,0.83735,0.9841,0.99489,0.995,0.86123,0.54711,0.32397,0.79468,0.00066142,0.00066142,0.00066142
